Date,Open,High,Low,Close,Adj Close,Volume
25/02/2018,9703.1,9860.3,9330.1,9221.14,9221.14,0
24/02/2018,10163.8,10506.1,9394.5,8845.07,8845.07,0
23/02/2018,9840.6,10419.1,9597.8,9000.73,9000.73,0
22/02/2018,10470.1,10930.2,9743.9,10112.6,10112.6,0
21/02/2018,11240.9,11289.7,10252.2,10007.42,10007.42,0
20/02/2018,11169.7,11791.5,11119.9,11135.34,11135.34,0
19/02/2018,10396.6,11250.5,10324.8,11633.11,11633.11,0
18/02/2018,11073.7,11271.6,10137.2,11372.85,11372.85,0
17/02/2018,10177.3,11095.9,10070.9,11091.99,11091.99,0
16/02/2018,10031.3,10294.3,9707.7,11114.0,11114.0,0
15/02/2018,9475.6,10206.8,9348.5,11346.58,11346.58,0
14/02/2018,8542.6,9500.0,8541.6,10820.81,10820.81,0
13/02/2018,8906.2,8942.7,8378.0,10780.0,10780.0,0
12/02/2018,8083.6,8984.9,8083.6,11501.0,11501.0,0
11/02/2018,8559.7,8564.2,7843.7,12744.98,12744.98,0
10/02/2018,8697.3,9066.6,8172.2,11535.56,11535.56,0
09/02/2018,8163.6,8735.6,7784.6,11298.0,11298.0,0
08/02/2018,7595.1,8489.9,7595.1,11240.19,11240.19,0
07/02/2018,7693.8,8536.5,7196.6,11399.01,11399.01,0
06/02/2018,6939.3,7896.2,5996.6,13597.6,13597.6,0
05/02/2018,8220.8,8383.2,6651.9,13626.27,13626.27,0
04/02/2018,9241.5,9382.1,7932.1,14174.38,14174.38,0
03/02/2018,8894.4,9506.9,8249.3,13815.26,13815.26,0
02/02/2018,9179.8,9201.4,7915.8,13301.77,13301.77,0
01/02/2018,10266.2,10303.0,8789.2,14929.39,14929.39,0
31/01/2018,10166.3,10397.7,9742.2,14477.55,14477.55,0
30/01/2018,11244.5,11277.2,9917.7,14980.01,14980.01,0
29/01/2018,11794.9,11888.1,11119.0,16150.15,16150.15,0
28/01/2018,11471.2,12112.7,11433.3,17175.0,17175.0,0
27/01/2018,11118.0,11621.7,10908.4,16945.5,16945.5,0
26/01/2018,11203.1,11655.3,10389.4,15199.99,15199.99,0
25/01/2018,11439.9,11740.9,10983.8,15144.0,15144.0,0
